Марка;Ссылка;Цена в $;Цена в UAH;Город
BRP Spyder RT ;https://auto.ria.com/auto_brp_spyder_26530741.html;24 999;616 475 грн;Киев
Zubr 200 ;https://auto.ria.com/auto_zubr_200_25096948.html;1 350;33 494 грн;Подгайцы
Днепр (КМЗ) Днепр ;https://auto.ria.com/auto_dnepr_kmz_dnepr_26518960.html;354;9 900 грн;Львов
Polaris Slingshot Sl;https://auto.ria.com/auto_polaris_slingshot_26659942.html;28 000;787 080 грн;Липовец
Quadro 350 ;https://auto.ria.com/auto_quadro_350_22575423.html;2 886;81 243 грн;Винница
Муравей М2 ;https://auto.ria.com/auto_muravej_m2_24957646.html;400;11 260 грн;Борщев
Муравей М2 ;https://auto.ria.com/auto_muravej_m2_26645387.html;439;12 300 грн;Жидачов
BRP Spyder RT LTD;https://auto.ria.com/auto_brp_spyder_24559005.html;30 350;853 442 грн;Львов
BRP Spyder Ryker 900;https://auto.ria.com/auto_brp_spyder_24259901.html;12 575;357 772 грн;Киев
Piaggio MP3 250 i. e.;https://auto.ria.com/auto_piaggio_mp3_20457793.html;2 200;61 424 грн;Чернигов
BRP Spyder RT ;https://auto.ria.com/auto_brp_spyder_26530741.html;24 999;616 475 грн;Киев
Zubr 200 ;https://auto.ria.com/auto_zubr_200_25096948.html;1 350;33 494 грн;Подгайцы
Днепр (КМЗ) Днепр ;https://auto.ria.com/auto_dnepr_kmz_dnepr_26518960.html;354;9 900 грн;Львов
Polaris Slingshot Sl;https://auto.ria.com/auto_polaris_slingshot_26659942.html;28 000;787 080 грн;Липовец
Quadro 350 ;https://auto.ria.com/auto_quadro_350_22575423.html;2 886;81 243 грн;Винница
Муравей М2 ;https://auto.ria.com/auto_muravej_m2_24957646.html;400;11 260 грн;Борщев
Муравей М2 ;https://auto.ria.com/auto_muravej_m2_26645387.html;439;12 300 грн;Жидачов
BRP Spyder RT LTD;https://auto.ria.com/auto_brp_spyder_24559005.html;30 350;853 442 грн;Львов
BRP Spyder Ryker 900;https://auto.ria.com/auto_brp_spyder_24259901.html;12 575;357 772 грн;Киев
Piaggio MP3 250 i. e.;https://auto.ria.com/auto_piaggio_mp3_20457793.html;2 200;61 424 грн;Чернигов
BRP Spyder RT ;https://auto.ria.com/auto_brp_spyder_26530741.html;24 999;616 475 грн;Киев
Zubr 200 ;https://auto.ria.com/auto_zubr_200_25096948.html;1 350;33 494 грн;Подгайцы
Днепр (КМЗ) Днепр ;https://auto.ria.com/auto_dnepr_kmz_dnepr_26518960.html;354;9 900 грн;Львов
Polaris Slingshot Sl;https://auto.ria.com/auto_polaris_slingshot_26659942.html;28 000;787 080 грн;Липовец
Quadro 350 ;https://auto.ria.com/auto_quadro_350_22575423.html;2 886;81 243 грн;Винница
Муравей М2 ;https://auto.ria.com/auto_muravej_m2_24957646.html;400;11 260 грн;Борщев
Муравей М2 ;https://auto.ria.com/auto_muravej_m2_26645387.html;439;12 300 грн;Жидачов
BRP Spyder RT LTD;https://auto.ria.com/auto_brp_spyder_24559005.html;30 350;853 442 грн;Львов
BRP Spyder Ryker 900;https://auto.ria.com/auto_brp_spyder_24259901.html;12 575;357 772 грн;Киев
Piaggio MP3 250 i. e.;https://auto.ria.com/auto_piaggio_mp3_20457793.html;2 200;61 424 грн;Чернигов
BRP Spyder RT ;https://auto.ria.com/auto_brp_spyder_26530741.html;24 999;616 475 грн;Киев
Zubr 200 ;https://auto.ria.com/auto_zubr_200_25096948.html;1 350;33 494 грн;Подгайцы
Днепр (КМЗ) Днепр ;https://auto.ria.com/auto_dnepr_kmz_dnepr_26518960.html;354;9 900 грн;Львов
Polaris Slingshot Sl;https://auto.ria.com/auto_polaris_slingshot_26659942.html;28 000;787 080 грн;Липовец
Quadro 350 ;https://auto.ria.com/auto_quadro_350_22575423.html;2 886;81 243 грн;Винница
Муравей М2 ;https://auto.ria.com/auto_muravej_m2_24957646.html;400;11 260 грн;Борщев
Муравей М2 ;https://auto.ria.com/auto_muravej_m2_26645387.html;439;12 300 грн;Жидачов
BRP Spyder RT LTD;https://auto.ria.com/auto_brp_spyder_24559005.html;30 350;853 442 грн;Львов
BRP Spyder Ryker 900;https://auto.ria.com/auto_brp_spyder_24259901.html;12 575;357 772 грн;Киев
Piaggio MP3 250 i. e.;https://auto.ria.com/auto_piaggio_mp3_20457793.html;2 200;61 424 грн;Чернигов
